caseid,mobilpo_wparty_oth,postvote_presvtwho_oth,postvote_vtpresdec,postvote_prefprwho_oth,ofcrec_speaker,ofcrec_vp,ofcrec_pmuk,ofcrec_cj,mip_prob1,mip_prob2,mip_prob3,mip_mostprob,fairjob_opin_oth,abort_dpc4_oth,abort_rpc4_oth,abort_dem4_oth,abort_rep4_oth,aapost_hire_oth,cses_ptycont_oth,pohisp_hispnews_oth,pohisp_renglish_oth,pohisp_rspanish_oth,CASISTARTPO_IWRSET6
6070,,,a couple of months before elections started,,dont know sorry,dont remember sorry,dont remember sorry,dont remember sorry,no comment at the moment,none at the moment,none at the moment,cant think of any at the moment,,,,,,,,,,,
6071,,,yes,,dont know,vice president,dont know,dont no,jobs/ gas problem,terisem,presided,jobs,,,,,,,,,,,
6072,,,-1 Inapplicable,,SPEAKER OF THE HOUSE,VICE PRESIDENT,NOT SURE,CHIEF JUSTICE,"ECONOMY, WELFARE",HAVING A NIGGER PRESIDENT,FISCAL CLIFF DEFICIT,ECONOMY,,,,,,,,,,,
6073,,,6 months,,unknown,vice pres,unknown,?,unemployment-people not finding work and making more in unemployment than even looking for a job.,Expenses of congress members and their salaries for life.,Not limiting the senators.,-7 Refused,,,,,,,,,,,
6074,,,3 or 4 months,,Speaker of the House,Vice President,Don't know,Not sure,"I believe if America would quit killing the uborn and  remember our foundation is built upon God's laws, God would help her.  I think the reason we are in the shape we are is because we are being punished as a nation for our lack of morals.  2 Chronicles 7:14  King James Version (KJV)  14 If my people, which are called by my name, shall humble themselves, and pray, and seek my face, and turn from their wicked ways; then will I hear from heaven, and will forgive their sin, and will heal their land.",We've lost our moral compass.,Child poverty,Loss of morals.,,,,,,,,,,,
6075,,,,,,,,,,,,,,,,,,,,,,,
6076,,,Always knew I was voting republican,,Unknown,Unknown,Unknown,Unlnown,Immigration something needs to be done to help the hard working hispanics,Unsure,Tax for middle and lower class is high,-7 Refused,,,,,,,,,,,
6077,,,-1 Inapplicable,,dont know,vice president,?,?,"immigration,poverty",terrorist,violence,poverty,,,,,,,,,,,
6078,,Jill Stein,A few days before the election I made my decision to vote for Dr Stein after hearing her speak on the radio and visiting her website.,,Speaker of the House of Representatives,Vice President,Prime Minister of Great Britain,Chief Justice of the Supreme Court,"Health care, unemployment, excessive military spending by the government",Reliance on oil and fossil fuels,Role of big business in controlling the government and stifling the economy,Big business controlling the government,All should be treated equally,,,,,,,,,,
6079,,,,,,,,,,,,,,,,,,,,,,,
6080,,,,,,,,,,,,,,,,,,,,,,,
6081,,,"Before Obama was elected 4 years ago, I knew I was going to vote for the Republican candidate.",,Speaker of the House,Vice President,Press Secretary??,Don't know,"The economy, jobs and the Obama administration are making our country face a very uncertain future.",No jobs for college graduates.,Healthcare; Obamacare is not the answer.,The economy and jobs.,"We as a country, should be way beyond this and it should be a non-issue.",,,,,,,,,,
6082,,,-1 Inapplicable,,Speaker of the House,Vice President,Prime Minister,Supreme Court Chief Justice,Education is a major problem in this country. Our schools are teaching children how to test well and even with that simple task they generally fail. Teachers are hindered by the curriculum and funding as well.,Poor and homeless people are also a major problem that go unnoticed on a national level.,-7 Refused,Education,,,,,,,,,,,
6083,,,,,,,,,,,,,,,,,,,,,,,
6084,,,1 year,,Speaker of the House,Vice President,I forget,Chief Justice of the Supreme Court,The economy - the cost of living for middle america is exceeding any wage adjustments.,healthcare costs,foreign conflicts,the economy,,,,,,,,,,,
6085,,,Long before,,Speaker of the House,Vice-president,press secretary,Supreme Court judge,getting the economy going again,reforming Wall Street,The problem of immigration,getting the economy going,,,,,,,,,,,
6086,,,"A few weeks, probably a month or so",,not sure,Vice pres,not sure,not sure,mounting deficit will cause inflation and put us into another recession,unemployment,-7 Refused,the mounting deficit,,,,,,,,,,,
6087,,,una semana.,,no se.,vice precidente.,no se.,no se.,la probresa. desenpleo,"las drogas,la migracion",la educacion,la educacion.,,,,,,,,,,,
6088,,,-1 Inapplicable,,no se,no se,no se.,no se.,ataques y amenazas,no,no,ataques al pais.,,,,,,,,,,,
6089,,,1 year.,,Senator,Vice President,Do not know.,Congressman,The fighting between both parties.,Healthcare,Social Security,Healthcare,,,,,,,,,,,
6090,,,At least one year.,,Majority leader in Congress,Vice-President of USA,Do not know,Do not know,Jobs and education,Nuclear weapons,Environment,Jobs,,,,,,,,,,,
6091,,,6 months,,Speaker of the House,vice president,prime minister,Leader of supreme court,Environmental changes,Big business,Health care,Environmental changes/global warming,,,,,,,,,,,
6092,,,-1 Inapplicable,,Speaker of the HOuse,Vice President,-7 Refused,-7 Refused,-7 Refused,-1 Inapplicable,-1 Inapplicable,,,,,,,,,,,,
6093,,,Months,,Speaker of the House,Vice president of the US,Don't know,Supreme court justice,Economy Illegal immigrants,Health care,Welfare system/ abuse,Economy,,,,,,,,,,,
6094,,,A soon as Romney was nominated,,Majority leader,Vice President,British Leader,Supreme Court Judge,Debt problem national debt in the trillions,The problem of trying to get God out of our lives,-7 Refused,the fiscal cliff,,,,,,,,,,,
6095,,,,,,,,,,,,,,,,,,,,,,,
6096,,,-1 Inapplicable,,I do not know,I do not know.,I do not know.,I do not know.,The national debt.,The U.S. economy.,No.,The national debt.,,,,,,,,,,,
6097,,,-1 Inapplicable,,dont know,vice president,dont know,dont know,economy and jobs,social security,housing market,economy,,,,,,,,,,,
6098,,,The day Obama was voted into office in 2008 is when I made up my mind to vote him out.,,Speaker of the House,VP,English Prime Minister,Supreme Court,Cut spending back to the level 6 years ago.,Economy needs incentives,"Fair taxation: not just wealthy, tax everyone so that wealthy aren't paying for poor.  if less than 50 percent  of the people pay taxes, it will always create a divide.  Rich democrats are two-faced - they want the poor to hate the rich to keep them in power when most of our democrat leaders are themselves in the 1 percent  and shield their income just like everyone else.",Cut spending.,,,,,,,,,,,
6099,,,6 months,,Speaker of the House,VP,?,?,"economy, not sinking back into a recession",health care and aging population,crime,economy,,,,,,,,,,,
6100,,,that day,,speaker of the house,vice president,dont know,senate,dont know,dont know,dont know,dont know,,,,,,,,,,,
6101,,,-1 Inapplicable,,Speaker of the House,Vice President,Don't Know,Chief Justice,The struggling economy,Immigration,War on terrorism,The economy,,,,,,,,,,,
6102,,,,,,,,,,,,,,,,,,,,,,,
6103,,,about a month,,head of the senate,vice president,don't know,don't know,too many people out of work,"too much debt, can't go on",too many people expect something for nothing insead of working for what they get.,the debt,,,,,,,,,,,
6104,,,not long at all.,,don't know,vice president,don't know,don't know,debt paying it off or paying it down.,lack of job,drugs problems,drugs,,,,,,,,,,,
6105,,,i knew he was my candiate when he decied to run again,,speaker of the house,vice presdient,not sure,not sure,economy the decifit,health care the prices just keep going up,jobs we need more of our jobs to return from over seas,money,,,,,,,,,,,
6106,,,As soon as Romney was the Republican nominee,,Speaker (cryer) of the House,VP,No idea,Supreme Court Judge,Inability to eliminate the in-fighting and get things done,"Once we eliminate the in-fighting, hopefully, people can start doing what they were sent to do (which isn't just make things better for the people in Washington and big business.",economy - fiscal cliff - lack of trust in government blah - blah blah,Ability to grow up and solve the issues,haven't they been doing that for decades,,,,,,,,,,
6107,,,two weeks,,speaker of the house,vice president,prime minister in england,supreme court,we need more jobs for people struggling to reach the middle-class,"health care, and the attempt to raise the age of retirement.",equal pay for women,racism,,,,,,,,,,,
6108,,,From the begining of the campaign,,I don't know.,Vice President,I don't know,I don't know,Adaquate healthcare for everyone,Fair and equal education for all children,Jobs for everyone,Healthcare for everyone,,,,,,,,,,,
6109,,,-1 Inapplicable,,don't know,vice president,prime minister,journalist,The economy is in bad shape,the lack of educational options for our chiildren,the problem with race relationships,the economy problem,,,,,,,,,,,
6110,,,1 year,,House Majority Leader,Vice President,Don't know,Chief Justice of Supreme court,Personal selfishness - everyone is looking out only for themselves.  Lack of understanding of the concept of citizenship,"No loyalty in business - people don't care about quality or workers, they just want to make as much money as fast as they can and then get out",No commitment or plan for a strong educational system.  Our kids need us.,Selfishness - no citizenship,Jobs should go to best person for the job,,,,,,,,,,
6111,,,-1 Inapplicable,,speaker of the house,vice president,do not know,supreme justice,immigration we have to many illegals in our country who are only here for money and could care less what effects our country is facing and could care less andare not patriotic.,"our economy we need more corporation between the congress, the house and our president. they need to move together to get our country moving forward.",our economy needs to be improved through our government working together,jobs working together so our country can move forward,,,,,,,,,,,
6112,,,-1 Inapplicable,,I don't know,Vice President,i don't know,Chief Justice of Supreme Court,Economy is poor,unemployment of workers,-7 Refused,Economy,,,,,,,,,,,
6113,,Gary Johnson,After it was certain Ron Paul didn't get the republican nomination.,,"Speaker of the House, representative from Ohio.",Vice president.,PM of the United Kingdom.,No idea.,big government.,federal debt,entitlement mentality,big government.,,,,,,,,,,,
6114,,,desde la primera elecciones,,no se,no se,no se,nose,"economia , trabajos y viviendas",meterses en los problemas ajenos (hacer la guerra con otros paises)aseguranzas medicas mas accesibles.,la imigracion,la economia,,,,,,,,,,,
6115,,,mas de 3 meses,,congrecista republicano,house speaker,primer ministro  en londres,NO SE,que muchos politicos solo tratan de eriquecerse,"que los partidos, logren acurdos para veneficio de toda la nacion",creacion de empleos,todos,,,,,,,,,,,
6116,,,-1 Inapplicable,,dont know,vise president,dont know,dont know,"the econmy, and the goverment wasting too much money while the rest of us suffer.",no,the war,economy,,,,,,,,,,,
6117,,,Several months prior to the election,,Speaker of the House,Vice-President of the United States,Prime Minister U.K.,Chief Supreme Court Justice,Aging Population,Terrorism,Economy,Economy,,,,,,,,,,,
6118,,,1 year,,Speaker of the house,Vice President,Prime Minister UK,Chief Justice,Economy we need more jobs and better job security,Medical care,Terrorism,Economy,,,,,,,,,,,
6119,,,Several months,,I cannot recall.,VP,No idea.,Representative?,Unemployment and healthcare.,Environmental crises (fuel and natural animal habitats),-7 Refused,Unemployment.,Govt should see that ALL PEOPLE get fair treatment.,,,,,,,,,,
6120,,,way before,,speaker of the house/house majority leader,vice president,not sure--is he from England?,supreme court/chief justice?,compromising on the economy,security,health care,economy,all people get fair treatment,,,,,,,,,,
